ELEMENTO,NOMBRE,UBICAR,FOTOS,NOTA,NOMBRE COR,numero,x,y
ALCHUP,ALCHUP DE FREGOL,,,,FREGOL,0,775286.2708753173,4642974.7077798145
ALCHUP,ALCHUP DE LA TORRE BASO,,SI,TRANSFORMADO EN PISCINA AZUL,TORRE BASO,1,773794.9737451785,4642904.954280861
ALCHUP,ALCHUP DE FONDEGRACIA,,SI,TRASNFORMADO EN DEPOSITO,FONDEGRACIA,2,773377.8430012264,4642769.49455288
ALCHUP,ALCHUP DE MATIETAS,,SI,,MATIETAS,3,772546.4635443024,4644527.094192142
ALCHUP,ALCHUP DE VEDERA,,SI,PRACTICAMENTE TAPADO,VEDERA,4,773172.888797713,4644191.802591202
ALCHUP,ALCHUP LLARGO,,SI,,LLARGO,5,773300.7419728995,4644383.431956992
ALCHUP,ALCHUP DE PEDRO ALOY,,SI,,PEDRO ALOY,6,772468.3580126513,4645430.554139294
ALCHUP,ALCHUP DELS LLIRONES DE RASO,,SI,PRACTICEMENTE TAPADO,LLIRONES DE RASO,7,774882.6287671681,4644329.891403365
ALCHUP,ALCHUP DE FALEVA,,SI,,FALEVA,8,774541.9283693229,4643998.2627261905
ALCHUP,ALCHUP DE SANTA ANA,,SI,SUCIO,SANTA ANA,9,773781.7026649581,4644321.848833398
ALCHUP,ALCHUP DEL TARTARE 1,,SI,,TARTARE 1,10,775095.6678705281,4643169.990537475
ALCHUP,ALCHUP DEL TARTARE 2,UBICAR,SI,,TARTARE 2,11,775060.9788929417,4643189.812810389
ALCHUP,ALCHUP DEL TARTARE 3,UBICAR,SI,,TARTARE 3,12,775044.8732962053,4643214.590651522
ALCHUP,ALCHUP DE LAS RIBETAS,,SI,,RIBETAS,13,774533.0252442765,4642957.313700296
ALCHUP,ALCHUP DEL CLLOTET,,SI,,CLLOTET,14,775375.267492876,4643222.502304803
ALCHUP,ALCHUP DE FARRUMA,,SI,,FARRUMA,15,774647.4843241202,4644375.268750163
ALCHUP,ALCHUPS DE LA SIERRA 1,,SI,MUY SUCIO,SIERRA 1,16,775420.5881811206,4644106.695080208
ALCHUP,ALCHUPS DE LA SIERRA 3,,SI,,SIERRA 3,17,775468.8488845923,4644067.985974279
ALCHUP,ALCHUP DE ZARAGOZA,,,,ZARAGOZA,18,775116.5336826611,4644547.412989446
ALCHUP,ALCHUP DE LA GUINEU,UBICAR,,,LA GUINEU,19,775030.3335384101,4648460.834084768
ALCHUP,ALCHUP DE GODOY,,,,GODOY,20,775406.8442298019,4647844.516499202
ALCHUP,ALCHUP DE LA TORRE SOLANO,,,,TORRE SOLANO,21,777420.5167129792,4648647.231099664
ALCHUP,ALCHUP DE MAIMO 1,,,,MAIMO 1,22,776554.5860484176,4648737.476974315
ALCHUP,ALCHUPS DE LA SIERRA 2,,SI,TAPADO,SIERRA 2,23,775451.3745364372,4644086.7744973665
ALCHUP,TRES ALCHUPS 1,,SI,,TRES ALCHUPS 1,24,775718.0647248386,4644072.021922482
ALCHUP,TRES ALCHUPS 3,,SI,,TRES ALCHUPS 2,25,775749.5183074875,4644057.440093572
ALCHUP,TRES ALCHUPS 2,,SI,,TRES ALCHUPS 3,26,775739.3480257755,4644064.654626002
ALCHUP,ALCHUP DE MAIMO 2,,,,MAIMO 2,27,776564.1253809142,4648740.512216451
ALCHUP,ALCHUP DE LA ESPINA,,SI,,ESPINA,28,777129.2370385504,4646172.892935211
ALCHUP,ALCHUP DE LAS PICONERAS,,SI,,PICONERAS,29,776256.2415628023,4647045.955773581
ALCHUP,ALCUP DE ESPERANCETA,,SI,,ESPERANCETA,30,776049.7665185062,4647631.0066528
ALCHUP,FARRACHUELO,,,,FARRACUELO,31,778283.227573233,4642303.789402393
ALCHUP,ALCHUP DE LA SIERRA,,,,SIERRA,32,777257.9144944925,4641631.024816036
ALCHUP,ALCHUP DEL AMELLERAL,,,,AMELLERAL,33,776818.0068238303,4642490.048286496
ALCHUP,ALCHUP DE LA SERVERA,,,,SERVERA,34,776989.149227564,4642771.14746768
ALCHUP,ALCHUP DEL MICH,UBICAR,,,MICH,35,777162.9518759149,4643076.1888504205
ALCHUP,ALCHUP DEL ORO,,,,ORO,36,776884.2848468333,4643178.054438932
ALCHUP,ALCHUP DEL CONGOST,,,,CONGOST,37,776740.8597299191,4643323.591599932
ALCHUP,ALCHUP DE FERMOS,,,,FERMOS,38,777818.8268877204,4642102.391146062
ALCHUP,PUYADA DEL REGUE,,,,REGUE,39,778119.7395768024,4642205.459665463
ALCHUP,ALCHUP DE ESTEBANIA,,,,ESTEBANIA,40,776636.2234416264,4642597.344819436
ALCHUP,ALCHUP DE LA OLIVERA,UBICAR,,,OLIVERA,41,776939.4913280348,4643332.45908194
ALCHUP,ALCHUP DE MOGUERO,,,,MOGUERO,42,775844.3146439551,4643777.919037788
ALCHUP,ALCHUP DE LA BRECHA,,,,BRECHA,43,776151.3926228874,4643500.034037915
ALCHUP,ALCHUP LLUENGO DEL OLCID,,,,LLUENGO DE OLCID,44,776151.1721730137,4643458.377327351
ALCHUP,ALCHUP DE ESCALERA,,,,ESCALERA,45,775953.9694975216,4643837.239485769
ALCHUP,ALCHUP DE LOS CANTAROS,,,,CANTAROS,46,776060.688789788,4643800.829374275
ALCHUP,ALCHUP DE LA ROCA FORADADA,,,,ROCA FORADADA,47,776082.0326482328,4643784.507600184
ALCHUP,ALCHUP DE EL BAILE,,,,EL BAILE,48,776225.2984931922,4643719.164144815
ALCHUP,ALCHUP DE FOSAS 1,,,,FOSAS 1,49,776035.8949062503,4643404.285686826
ALCHUP,ALCHUP DE FOSAS 2,,,,FOSAS 2,50,776052.8316011362,4643396.368069751
ALCHUP,ALCHUP DE FOSAS 3,,,,FOSAS 3,51,776067.8978541571,4643381.301816735
ALCHUP,ALCHUP DEL SABINO,,,,SABINO,52,776053.6298703677,4643500.94124125
ALCHUP,ALCHUP DE JABONET,,,,JABONET,53,775921.5043876928,4643157.769685651
ALCHUP,ALCHUP DEL OLIVARET,,,,OLIVARET,54,775904.6561717814,4643069.981613284
ALCHUP,CUATRE ALCHUPS 1,,,,CUATRE ALCHUPS 1,55,776133.7817604068,4643118.2307320675
ALCHUP,CUATRE ALCHUPS 2,,,,CUATRE ALCHUPS 2,56,776116.2044652046,4643100.653436887
ALCHUP,CUATRE ALCHUPS 3,,,,CUATRE ALCHUPS 3,57,776155.1256188519,4643081.820620606
ALCHUP,CUATRE ALCHUPS 4,,,,CUATRE ALCHUPS 4,58,776178.9805194726,4643060.476762159
ALCHUP,ALCHUP DE LA CASCADA VEDERA 1,,,,CASCADA VEDERA 1,59,776250.097614015,4643398.95794633
ALCHUP,ALCHUP DE LA CASCADA VEDERA 2,,,,CASCADA VEDERA 2,60,776271.7699290123,4643362.6085211
ALCHUP,ALCHUP DE REGALOS,,,,REGALOS,61,776124.5697268378,4642902.386202343
ALCHUP,ALCHUP DE PERERA,,,,PERERA,62,775526.90143608,4643247.331254528
ALCHUP,ALCHUP DE PERERETA,,,,PERERETA,63,775603.1617817848,4643210.974578073
ALCHUP,ALCHUP DE BARDINA,,,,BARDINA,64,775644.838947461,4643076.1888507875
ALCHUP,ALCHUP DE GABARRA,,,,GABARRA,65,775537.5424145504,4642408.467451872
ALCHUP,ALCHUP DE LA TORRE FALCES,,,,TORRE FALCES,66,775990.4318373189,4641628.285805412
ALCHUP,ALCHUP DE JULIAN,,,,JULIAN,67,775194.8969582794,4643344.30336211
ALCHUP,ALCHUP DE SACRISTA,,SI,,SACRISTA,68,774074.8531678212,4644108.799156659
ALCHUP,ALCHUP DE RUDIE,,SI,,RUDIE,69,772873.542705457,4644192.490743616
ALCHUP,ALCHUP DEL TINTERET,,SI,,TINTERET,70,773778.3372147896,4644812.309041102
ALCHUP,ALCHUP DEL TORRE,,SI,,TORRE,71,773434.4585234663,4644745.968785461
ALCHUP,ALCHUP DE MASCARO,,SI,,MASCARO,72,773969.8552317026,4644057.740895278
ALCHUP,ALCHUP DE TASAN,,,,TASAN,73,778822.93334617,4645938.431396731
ALCHUP,ALCHUP DE CAZCARRA,,SI,,CAZCARRA,74,778139.5907505641,4645580.502823098
